german	russian
durchlesen, liest durch, las durch, hat durchgelesen (Ich habe den Text schnell durchgelesen.)	прочитать (Я быстро прочитал. текст.)
eventuell (evtl.)	возможный, при случае
korrigieren	исправить
die Brille, -n	очки
das Herzklopfen (Sg.)	сердцебиение
der Himmel, -	небо
rosa	розовый
schweben	парить, витать
das Verliebtsein (Sg.)	влюблённость
die Wolke, -n	облако
der Altersunterschied, -e	различие в возрасте
aufwachen	проснуться
der Augenblick, -e	мгновение
begeisterungsfähig	восторженный
bis (Es hat lange gedauert, bis ich eine Arbeit gefunden habe.)	до тех пор как (Потребовалось много времени, пока я нашёл работу.)
egal	всё равно
entsprechen, entspricht, entsprach, hat entsprochen (Ich möchte eine Arbeit finden, die meinen Qualifikationen entspricht.)	соответствовать (Я хочу найти работу, которая соответствовала бы моей квалификации.)
ernst	серьёзно
grenzenlos	безграничный
die Großeltern (PI.)	бабушка и дедушка
jobben	подрабатывать
komischerweise	как ни странно
die Kontaktanzeige, -n	объявление о знакомстве
die Lebensart, -en	образ жизни, быт
die Marketingfirma, -firmen	маркетинговая фирма
die Mentalität, -en	менталитет
nachholen	наверстать
niemand	никто
plagen (Mich plagt immer wieder das Heimweh.)	мучить, томить (Меня снова и снова томит тоска по родному дому.)
der Plan, "-e	план
die Qualifikation, -en	квалификация
schade	жаль
schmieden (Pläne schmieden)	создавать, ковать (строить планы)
spätestens	не позднее чем
der Tanzschritt, -e	па, танцевальный шаг
der Tanzwettbewerb, -e	танцевальный конкурс
die Umwelt (Sg.)	окружающий мир
unglaublich	невероятно
verpassen	упустить, пропустить
vertrauen	доверять
das Vorurteil, -e	предрассудок, предубеждение
die Weile (Sg.)	некоторое время, промежуток времени
weitertanzen	танцевать дальше
die Zeitschrift, -en	газета
zueinanderpassen	подходить друг другу
zumal	тем более что
richten (sich) (nach + D.) (Was möchtest du morgen unternehmen? Ich richte mich gern nach dir.)	следовать, брать пример (Что ты хотел бы завтра предпринять? Я бы подстроился под тебя.)
die Richtung, -en	направление
weg	прочь
wohin	куда
beziehen (auf + A.), bezieht, bezog, hat bezogen	относиться
halten (zu + D.), hält, hielt, hat gehalten (zu Jma. halten)	держать (быть на ч.-л. стороне)
der/die Traummann/Traumfrau, "-er/-en	мужчина/женщина мечты
der/die Traumpartner/in, -/-nen	партнёр мечты
ausgehen, geht aus, ging aus, ist ausgegangen (Ich hoffe wirklich, dass die Geschichte gut ausgeht.)	исходить, заканчиваться (Я действительно надеюсь, что история закончится хорошо.)
füllen	наполнять
genervt	нервированный
intelligent	интеллигентный, умный
langatmig	продолжительный, бесконечный
lesenswert	заслуживающий прочтения
das Literaturforum, -foren	литературный форум
der Mailwechsel, -	обмен электронной почтой
näherkommen (sich), kommen sich näher, kamen sich näher, sind sich nähergekommen (Leo und Emmi kommen sich im Roman immer näher.)	сближаться (Лео и Эмми становятся в романе всё ближе и ближе.)
nämlich	а именно
schenken (zu + D.) (Ich schenke dir etwas zum Geburtstag.)	дарить (Я подарю тебе кое-что к Дню Рождения.)
skeptisch	скептично
spannend	напряжённый, захватывающий
stellenweise	местами, иногда
der Teil (Sg.) (zum Teil)	часть (отчасти, частично)
verschlingen, verschlingt, verschlang, hat verschlungen (Das Buch war so toll! Ich habe es verschlungen.)	проглатывать, жадно глатать (Книга была такой потрясающей! Я прочёл её запоем.)
weglegen	откладывать
weitergehen, geht weiter, ging weiter, ist weitergegangen (Ich möchte wirklich gern wissen, wie dieses Buch weitergeht.)	идти дальше (Я действительно хотел бы знать, что в книге будет дальше.)
die Wortspielerei, -en	игра слов
abbestellen	отменять заказ
die Abbestellung, -en	отмана заказа
das Abonnement, -s	подписка
ausdauernd	выносливый, усидчивый
der Betreff, -s	повод, тема
die Dame, -n	дама
der/die Dritte, -n	третий
freundlich	дружелюбный
geehrt (Sehr geehrte Damen und Herren, ...)	уважаемый (Глубокоуважаемые дамы и господа, ...)
gehen, geht, ging, ist gegangen (Ich möchte dieses Buch umtauschen. Geht das?)	идти, быть возможным (Я хотел бы обменять эту книгу. Это возможно?)
ignorieren	игнорировать
der Januar (Sg.)	январь
kündigen (ein Abonnement kündigen)	отменять (отменить подписку)
mitteilen (Ich muss Ihnen mitteilen, dass ...)	сообщить (Я должен Вам сообщить, что ...)
das Niveau, -s	уровень, ступень
privat	приватный
sinkend	снижающийся
der Verlag, -e	издательство
der Versuch, -e	попытка
die Verzeihung (Sg.)	прощение
zahlen	платить
der Zweck, -e	цель, надобность
bittend	упрашивающий
frech	дерзкий, наглый
